review_id,stars
Wv-4SQr9UUztIBnjzHu9-g,1
6CQgD-mC2hZkHLiRSXc3wQ,1
CK_jCsfvzX7B4I48gC5fXQ,1
QEJ2TAmUmtcz6rVz2mhihg,1
1u6rTznnVSDgVeaxpGQzKQ,1
HW4MFsVIeAf8KfcLDfbqXA,1
wgZptlK7ArG7kRA78Xy26w,1
CfZAWA8uPdyHqC43PPV5nA,1
-2l-Gcro_paZuc5PV_Rg8A,1
-KkgInOPKWxjvZwVvV0zPg,1
Np3RBYyE8mHC6di0w2MDUQ,1
jkiwMKLQUqSik0qnnzYfxg,1
TZAa_61ODaRTDzEWwPY9yg,1
4Q5srbbkdjZiZloSFsGxFw,1
XnRbUSFZB5DieSHrBkV2ng,1
kEYEqY1Qs-W3Ise4XDiIdQ,1
O4zfvsFXaXnISEiL7DuELg,1
OPud6_T25yny_veVFgwnpg,1
6o48ylH1Pql0j1kN8ZZt0g,1
RhcChIyZ5s3gey-Mj73QBg,1
nnYjybfVAGcT5UVsdyaOTQ,1
a7dhJn5OGvIl3Kyu0f7h0g,1
Ci1l0cBIW-xJ4mPoHot_tQ,1
GwkfBs3ryGV4qochfkGCJw,1
fUJFwZ3EwLGmWbYWjbDHGw,1
OlzwNYEfzv6ALBmcjuI7Nw,1
pDEPW6gEYsWl1E8ZNkSJeQ,1
0hcPk_NBDwWhPVMLIWs-0A,1
r-PpDp7XxuvtD3vhCAcn9A,1
6rK3nDr6cSYNdlaBXX8VFg,1
jRDmnBRAsyuiMe-bwHcODA,1
1c1F1gupYv6c-DKjroPCOA,1
9j0maNhcKThXi_PhrabfIA,1
ouPDdGaLk_MCC0Hxi_bV5w,1
N1OXAumpHTuKHRak6fo8_g,1
K3q6_B6d8DhPSuf4xmKhiw,1
CmQ-ftH-4mqLOOZpv6ndlg,1
Yy90K-U-kRbvY0J0bFFQXg,1
nKOyGlvhsQjB3xDT7su3RA,1
cd3IjxTMaRWovINs_l1jfA,1
Wgd5OzoTzze9clteH0i0fA,1
wAZPCbhkaj-i8g48XN1ImQ,1
NAxYJXk_HKOLLs1xYAuckg,1
p6xAm5i6lvJy_DAh0YLmJA,1
a1In35v6ApE46-XMnUWTLw,1
aqdlkrQKyR3zMeeKWcwZmA,1
y5dhSBQ2oubvmlwiP0MElg,1
vOXLsOvboB1AgWbEeodkCg,1
TD9z4v-ONSW3Q9pWQzlKlw,1
CZkBrtCpEchjbzTrobSzyg,1
M0cnoCoj3y1ovIWSG9yzTQ,1
3CHNbGmn_jBFlzprKvQUyg,1
oCM0V43-YlT47_h88kJC_A,1
xiaMLrCS0-rr8Kxhm_uWdw,1
9k-X0IpTBOtB0LLuROGwnw,1
K9L4aOI5_tiZVAXB6TroGA,1
Cu_ZvYTdjsJR88x4ZZCKRQ,1
wvJLIeoqWk_UlKkGpXrkmQ,1
XQt32DOUGC4JNma0FwnlRA,1
mt3oeIZPOSpsrfhOXYfqlA,1
Feq7BsHwFDuAh9eTVQNpzA,1
FqFGY_-hZiFNqZQeSxwa6A,1
Ye-8f718mo8NWUrRotvBtw,1
kyK7gqfIMz1xDTg9b3iPFQ,1
jOuKGWalka8K6YZSySeG3g,1
K783m_J2XC7yIve-hup9Og,1
zyaA29zO5QdOiz_LSyK1PA,1
MSutefRGb2a2u1L4Z6FwZw,1
lyxEcLHfEaF7WSZZSxXlKg,1
zmdsyWzXemlkNQjUiYVZTQ,1
yDSWcI4ufEeYhp7m6KjkYQ,1
n8Rzg7O346lNqflweg835A,1
Wa4E30GuIWT8Z7ROjQy68w,1
Gavawlr96fSE9Nugzyb7vQ,1
1voeA2wwKQT5vFW1Ws3VVA,1
mG-Kbv3slg8Yd6K-fK_ssw,1
